lambda,weight,lambda_lo,lambda_hi,min_telluric_model_all_obs
4085.6934461504266,0.8333270744804557,4085.284634868569,4086.102298341714,1.0
4086.5583679941687,0.8173724268337669,4086.14947016891,4086.9673067375174,1.0
4088.771987686544,0.5044443469148087,4088.362868368235,4089.1811479451076,1.0
4089.1603314960093,0.6987348355480701,4088.7511733203232,4089.5695306158386,1.0
4090.6223022823165,0.5851480407894069,4090.21299782298,4091.0316477004344,1.0
4091.283990546053,0.6205704801830276,4090.8746198787076,4091.6934021788047,1.0
4092.140421773054,0.5352018314633394,4091.730965411872,4092.5499191082185,1.0
4093.020606368898,0.5739959463043116,4092.6110619371357,4093.4301917834555,1.0
4093.620339295891,0.607769604731539,4093.2107348553222,4094.02998472526,1.0
4096.486308811447,0.4112648454606867,4096.076417604217,4096.896241036175,1.0
4097.001844882128,0.6837001071196318,4096.591902090763,4097.411828696153,1.0
4099.715307877913,0.1712043437213875,4099.305093579568,4100.125563226086,1.0
4100.247293151548,0.7645637656945073,4099.837025623174,4100.657601735076,1.0
4100.605288418985,0.6640533292936109,4100.194985069886,4101.015632826824,1.0
4101.109498583925,0.13954649334092473,4100.699144783952,4101.519893447687,1.0
4101.8560237383335,0.5323447255102776,4101.445595241638,4102.2664933062915,1.0
4102.228113615988,0.5546474962640661,4101.817647888272,4102.638620418693,1.0
4102.8126335033785,0.7645408099603962,4102.402109289061,4103.223198798538,1.0
4103.335605139031,0.503927260222838,4102.925028596582,4103.746222767558,1.0
4105.011985985335,0.846445527780889,4104.601241705533,4105.422771368,1.0
4105.377088782154,0.1994182121739828,4104.966307970452,4105.787910700375,1.0
4105.681193536149,0.2319365289209729,4105.270382295965,4106.092045885898,1.0
4106.199284688058,0.8147161677074004,4105.788421608078,4106.610188882788,1.0
4106.5268580494485,0.22617252772412225,4106.115962192735,4106.937795024192,1.0
4107.015831839733,0.3110520112361799,4106.6048870566865,4107.426817745707,1.0
4109.01167149677,0.16077400010319398,4108.600527011573,4109.422857124879,1.0
4109.565866713273,0.8708361197510982,4109.154666775737,4109.97710779927,1.0
4110.204220159505,0.3354318286588925,4109.792956348823,4110.615525125038,1.0
4110.600846665526,0.5684692861577969,4110.189543168707,4111.012191321168,1.0
4111.133363276997,0.692495900235327,4110.722006496984,4111.544761221166,1.0
4111.87697413849,0.8794833861156048,4111.465542953358,4112.288446495224,1.0
4112.607485943273,0.8639784445439234,4112.195981663702,4113.019031401759,1.0
4113.426814161852,0.3874785447283079,4113.015227900943,4113.838441609882,1.0
4113.856222213517,0.8502073331016211,4113.444592986374,4114.267892632079,1.0
4113.857623235379,0.7573870665805922,4113.445993868051,4114.26929379414,1.0
4114.39420040354,0.6012065348039324,4113.982517346722,4114.805924657164,1.0
4114.398789212187,0.5980861151519478,4113.987105696216,4114.810513925009,1.0
4115.025170343095,0.7788991799080938,4114.613424151919,4115.436957737395,1.0
4115.027893277489,0.8610507587959815,4114.616146813859,4115.439680944271,1.0
4115.293593386126,0.2485722987817185,4114.881820336752,4115.705407641312,1.0
4116.523778752275,0.8065162695744869,4116.111882611517,4116.935716111161,1.0
4116.525410224962,0.7885916292001822,4116.11351392096,4116.937347747109,1.0
4117.24822031779,0.7859082873747322,4116.836251689977,4117.660230170985,1.0
4118.548403884157,0.39209922603961256,4118.136305160996,4118.960543845718,1.0
4118.5572755331905,0.4854266212121981,4118.14517592234,4118.969416382532,1.0
4119.030319654265,0.3491070860892005,4118.618172710991,4119.442507840767,1.0
4119.930770416595,0.5707051757639199,4119.518533374923,4120.343048710509,1.0
4119.9325687546425,0.5521788748880198,4119.520331533031,4120.344847228515,1.0
4120.219368923919,0.516963116335112,4119.807103005308,4120.631676097663,1.0
4120.628785210787,0.908433195205152,4120.216478326302,4121.0411333545035,1.0
4122.288218110444,0.8078936092799206,4121.875745184405,4122.700732312331,1.0
4122.289832907006,0.786747335601442,4121.877359819392,4122.702347270484,1.0
4123.4029839454215,0.939010905024878,4122.990399476787,4123.815609701065,1.0
4123.884316299781,0.8059915158548534,4123.471683669409,4124.296990221982,1.0
4123.885777707891,0.789372842238522,4123.473144931292,4124.298451776334,1.0
4124.227052250672,0.24351406045258664,4123.81438532641,4124.639760470195,1.0
4124.2278127386635,0.2347118782077193,4123.815145738307,4124.640521034288,1.0
4126.566245157103,0.33561677140337304,4126.153344175033,4126.979187457856,1.0
4126.5674720890165,0.319172035807992,4126.15457098418,4126.980414512547,1.0
4127.700891509469,0.6373560668159374,4127.287876995575,4128.113947353408,1.0
4127.701634403546,0.6300080945380823,4127.288619815319,4128.114690321825,1.0
4128.267635782447,0.7892037121399433,4127.854564560565,4128.680748340047,1.0
4128.268689008545,0.7737408903718386,4127.855617681279,4128.681801671541,1.0
4128.592430503864,0.4840382302671278,4128.179326783277,4129.005575563421,1.0
4128.593544636944,0.4604570255689664,4128.180440804878,4129.006689807991,1.0
4128.934568671235,0.3494485101065058,4128.521430716572,4129.347747968295,1.0
4128.936492325272,0.3848056491126041,4128.52335417813,4129.349671814831,1.0
4130.82260250336,0.5190352051987741,4130.409275633512,4131.235970734509,1.0
4131.260014028308,0.6473116767256384,4130.846643391406,4131.673426030891,1.0
4131.5414687491775,0.4590988664699575,4131.128069950137,4131.954908916717,1.0
4131.810383085267,0.6160936895197029,4131.396957378869,4132.223850162856,1.0
4132.733626064744,0.3749014250791456,4132.320107979378,4133.147185530547,1.0
4133.191405603335,0.34709643021642644,4132.777841712907,4133.605010878782,1.0
4133.436991413608,0.15461842740489454,4133.023402950056,4133.850621264638,1.0
4134.989338514963,0.8658392445642904,4134.575594724777,4135.40312370817,1.0
4135.436538078753,0.10638685451768627,4135.02274954213,4135.850368022876,1.0
4135.688623523914,0.4136856301866968,4135.27480976382,4136.102478694033,1.0
4137.118510002894,0.2327909556640139,4136.70455316948,4137.53250826065,1.0
4137.8400940756865,0.19713751387715175,4137.426065041136,4138.254164541803,1.0
4138.609171388951,0.6513078101104457,4138.195065401127,4139.023318816041,1.0
4139.088289083566,0.8241223968814986,4138.674135155602,4139.502484455595,1.0
4139.735600560876,0.38906540937740897,4139.321381863433,4140.149860708865,1.0
4140.056362900929,0.11966741232348566,4139.6421121082585,4140.470655147358,1.0
4140.449137342564,0.28480337948681955,4140.0348472491905,4140.863468893628,1.0
4140.927902155329,0.14230251953609874,4140.513564157124,4141.342281616018,1.0
4141.172971326279,0.18088261285626173,4140.758608806645,4141.587375310852,1.0
4142.018908327206,0.7561648644193304,4141.604461163779,4142.433396964041,1.0
4142.0240953182065,0.7383007431874209,4141.6096476357725,4142.4385844741,1.0
4142.502162648687,0.5948225522215467,4142.087667131211,4142.916699644409,1.0
4143.145807115409,0.2273233985632281,4142.731247195373,4143.560408520137,1.0
4143.954867723274,0.6359405624897123,4143.540226849268,4144.369550090073,1.0
4145.521919478915,0.9284417968680948,4145.107121806939,4145.936758659374,1.0
4145.968843535764,0.9002799270957975,4145.5540011449175,4146.383727439568,1.0
4147.289902199471,0.3703530104567619,4146.874927624531,4147.704918300597,1.0
4147.291628302835,0.3652003766139004,4146.876653555182,4147.706644576691,1.0
4147.849552306808,0.4626357874556137,4147.434521733717,4148.264624411688,1.0
4147.8509329611625,0.4430334295057804,4147.435902249924,4148.266005204204,1.0
4148.156182931507,0.5803432797792338,4147.741121677196,4148.571285720677,1.0
4148.1567054809275,0.6332517392686552,4147.741644174331,4148.571808322389,1.0
4150.877301394667,0.14430966584853455,4150.461967867376,4151.292676484062,1.0
4150.877565437151,0.14762803607571046,4150.462231883441,4151.292940552969,1.0
4151.461692528409,0.6855117621763809,4151.0463005274005,4151.8771260973745,1.0
4151.855176731678,0.422353841919264,4151.439745358948,4152.270649676304,1.0
4151.855784363341,0.41624844878872935,4151.440352929812,4152.271257368772,1.0
4153.061466200552,0.3926591869968869,4152.6459141274445,4153.477059857635,1.0
4153.062114622355,0.3757833418580436,4152.646562484367,4153.477708344325,1.0
4154.858047679718,0.254833918935554,4154.442315842077,4155.273821119324,1.0
4154.85841221135,0.2549832124063793,4154.4426803372335,4155.274185687434,1.0
4155.478766604396,0.37443435811533576,4155.0629726581055,4155.894602158865,1.0
4155.47973014662,0.3623146791467048,4155.063936103918,4155.89556579751,1.0
4156.5978517233725,0.8590124422084534,4156.181945802303,4157.0137992638265,1.0
4156.59947946541,0.8593476458629518,4156.18357338147,4157.015427168751,1.0
4156.905218806527,0.8452193804990579,4156.489282130548,4157.321197104968,1.0
4159.881845576121,0.8448471339023478,4159.465611061202,4160.298121743307,1.0
4160.467009891021,0.27703634962984425,4160.05071682502,4160.883344615148,1.0
4160.892533724802,0.8095534795500137,4160.47619808122,4161.308911030771,1.0
4161.280414314894,0.6972210889605601,4160.864039860284,4161.696830435774,1.0
4161.735810262575,0.15183026902861999,4161.319390241403,4162.1522719545765,1.0
4162.653406006406,0.32184875345095554,4162.236894171324,4163.069959521506,1.0
4163.893923756165,0.37817356248126976,4163.47728779585,4164.310601408919,1.0
4167.21278104605,0.2295795402945281,4166.795813003478,4167.629790814292,1.0
4169.0633516339285,0.12058149966127407,4168.646198424714,4169.480546587342,1.0
4169.377894870746,0.7575125704000165,4168.960710188582,4169.795121300259,1.0
4170.717982790142,0.5455837940447246,4170.300664019832,4171.135343321219,1.0
4171.045692048007,0.6182163331402389,4170.628340487367,4171.463085372698,1.0
4171.860214289054,0.4926104974807031,4171.442781227956,4172.277689122357,1.0
4175.068281097119,0.4514516612559517,4174.650527039373,4175.486076959192,1.0
