Time [MJD],RV_C [m/s],e_RV_C [m/s],RV_A [m/s],e_RV_A [m/s],Score_1 [nondim],e_Score_1 [nondim],Score_2 [nondim],e_Score_2 [nondim]
58764.47709085225,-64.59328515079592,0.6456486180727844,0.4636552961712255,NaN,-0.4775559172623508,NaN,-0.036325328977957094,NaN
58764.47906360807,-65.86966151639004,0.6262050731910783,0.46301391000437775,NaN,-0.4755255492591353,NaN,-0.03306022982493495,NaN
58764.4809947739,-64.64795891084978,0.6250546714901155,0.46612738177690005,NaN,-0.47879319174777946,NaN,-0.033446919805459614,NaN
58771.41785443625,-68.734256944769,0.6124294003221188,0.41622419733056404,NaN,-0.419552418132604,NaN,-0.011133078612667937,NaN
58771.41962321926,-70.18313592576423,0.6568514673865947,0.41437960603705903,NaN,-0.4187023633025533,NaN,-0.013452563877963262,NaN
58771.42127622235,-69.71505114738024,0.636481426293856,0.4170632463185058,NaN,-0.4207688421802894,NaN,-0.012025484783816674,NaN
58772.47489145159,-65.70082952462121,0.6439371899891196,0.3861038932737699,NaN,-0.3895652365713075,NaN,-0.011205147997116837,NaN
58772.47754459909,-67.53216756712105,0.6505468497312821,0.39117415170966297,NaN,-0.3929376496915362,NaN,-0.007260718687193503,NaN
58772.48015896685,-67.74035050154457,0.6318012873593549,0.3904096115072946,NaN,-0.39228990045794876,NaN,-0.007528729115610335,NaN
58773.45721570261,-66.31221759279457,0.652597533070754,0.361034429824997,NaN,-0.364308351698033,NaN,-0.01056519939208461,NaN
58773.46347989951,-68.1227239501717,0.8047726901839651,0.3579091034796704,NaN,-0.3605815737950984,NaN,-0.009128633712042917,NaN
58773.47193135838,-66.86965796626296,0.637092818765255,0.3532342548285641,NaN,-0.3590845018480577,NaN,-0.01654966041162308,NaN
58778.42540707433,-66.44284103327941,0.8283305192647411,0.292298772962198,NaN,-0.28939186448706383,NaN,0.004489928603915027,NaN
58778.43391455291,-69.04842030854535,0.6484237596503855,0.29002799801179435,NaN,-0.28781667975954595,NaN,0.0028754799559310195,NaN
58778.44017503751,-67.08921107106319,0.5814310186596916,0.29865361095613707,NaN,-0.2930259985001344,NaN,0.010824785341559801,NaN
58780.39287994725,-67.84230328109771,0.8806866103304621,0.2542071162253592,NaN,-0.25178800957467906,NaN,0.00364903137735424,NaN
58780.39742668469,-67.81670480586999,0.6518596880869009,0.26755745477477433,NaN,-0.2594293356878907,NaN,0.01694170754556747,NaN
58780.40239222311,-67.28072922637979,0.6213388652974858,0.26505572047443593,NaN,-0.25583827049573626,NaN,0.019518363626857015,NaN
58781.44902167603,-66.13322713919725,0.641343429241719,0.2640018928788521,NaN,-0.25021695211212097,NaN,0.03024680684675434,NaN
58781.45260148131,-64.87642125738441,0.6252973450372508,0.2592605299669941,NaN,-0.2477584830663516,NaN,0.024926626909545464,NaN
58781.45556386143,-66.48199290195771,0.7548129242514706,0.270769150466208,NaN,-0.25195069638807643,NaN,0.0420066028113995,NaN
58785.43437185307,-66.86028689445558,0.6301588592069,0.16367819806727368,NaN,-0.13468712867206828,NaN,0.06673665753205014,NaN
58785.43666266622,-63.42005684344914,0.652432335243199,0.1684596030132468,NaN,-0.13547829305355483,NaN,0.07606371008824492,NaN
58785.43881751886,-66.69626927389372,0.6365868006298803,0.17152287347457218,NaN,-0.13872204682955916,NaN,0.07561566430452815,NaN
58785.44089421652,-64.75486497903609,0.649472151056433,0.1641102143371569,NaN,-0.13322771164239097,NaN,0.0711724586150601,NaN
58785.4430499539,-66.08434300153394,0.6375067414818069,0.17383869516224593,NaN,-0.1414931555857089,NaN,0.07452861111061783,NaN
58788.47010594197,-68.84763156063744,0.6748665450042627,0.12179943026957574,NaN,-0.070947903842712,NaN,0.11837799415664456,NaN
58788.47124206897,-67.96065342909111,0.7486006518375874,0.1295560543803731,NaN,-0.07555602409665756,NaN,0.12570572274316824,NaN
58788.47224909608,-67.90450547854553,0.744100010267982,0.125751077882569,NaN,-0.07046862327922529,NaN,0.12874597512721517,NaN
58788.47323280371,-68.17172563317688,0.7324132607775792,0.12449385011647962,NaN,-0.07134542992042589,NaN,0.12374736775735606,NaN
58794.42518150308,-66.54660840924988,0.6342192014249578,-0.02587632122509831,NaN,0.15157575462655712,NaN,0.2952267165049497,NaN
58794.42672714663,-66.17696663445284,0.5958249994730985,-0.02566024363068209,NaN,0.1516151482655583,NaN,0.29582459050003534,NaN
58794.4283048197,-64.51364871809689,0.6864729608200563,-0.029248109582113102,NaN,0.15370752431665685,NaN,0.2923432650841113,NaN
58794.42961978848,-66.616034293005,0.6219133165563207,-0.036758916952464915,NaN,0.1588213191350588,NaN,0.28677734664146093,NaN
58795.4213828373,-67.04385361260464,0.6458486153443439,-0.06501086075118678,NaN,0.2013639471997412,NaN,0.32054345933907974,NaN
58795.42353786453,-68.14579388332899,0.6451254467470233,-0.07183744122008306,NaN,0.20730049411169152,NaN,0.3185090038378098,NaN
58795.42583939274,-67.19794422181295,0.6452453490667236,-0.07487357506434478,NaN,0.20916729812316393,NaN,0.31578878249163395,NaN
58795.42837467166,-67.85588075162795,0.6467640307212689,-0.06749859056735374,NaN,0.20669809556553348,NaN,0.3272439393031775,NaN
58796.3625586031,-66.170719410642,0.659574723796964,-0.06848596544061536,NaN,0.2107983080296045,NaN,0.334557738999234,NaN
58796.36460067368,-67.7033461138769,0.6570752854070053,-0.07829572182187405,NaN,0.21884674327844408,NaN,0.33050215333844757,NaN
58796.36616707964,-65.38222934096055,0.6626374794538824,-0.0712719308175025,NaN,0.21119636982898193,NaN,0.3289754933140601,NaN
58796.36763095906,-67.79125160907525,0.6623225878868034,-0.07732127366760722,NaN,0.21883801994736207,NaN,0.33276096096537344,NaN
58797.4047222577,-66.64724264968399,0.6567634747045947,-0.10247647400791493,NaN,0.2544989871610691,NaN,0.3576190495309079,NaN
58797.40568423366,-66.17277158336296,0.6620149219034401,-0.10955315080920514,NaN,0.2591767557915585,NaN,0.352045217467425,NaN
58797.40664902377,-65.96566955386487,0.6540356286945703,-0.11417381277311733,NaN,0.2627030083794111,NaN,0.34951348181928155,NaN
58797.40757143317,-67.94575322328312,0.6547662683302734,-0.1038097726161169,NaN,0.2547710382026049,NaN,0.3551389110380829,NaN
58802.48604141699,-65.61885533063634,0.6779168608794984,-0.24426906270797133,NaN,0.4177518361913403,NaN,0.4091184681273461,NaN
58802.48863424028,-64.32907346411889,0.6786909825055091,-0.2487314986987883,NaN,0.41968561841148044,NaN,0.4032192566164634,NaN
58802.49256449407,-65.90803154378116,0.6811151832620046,-0.2389208913730272,NaN,0.4164655794680932,NaN,0.41860921870974493,NaN
58802.49763097648,-66.7483754141116,0.6806044849727073,-0.2406602372584956,NaN,0.4139661822339865,NaN,0.40867464651785784,NaN
58827.37246194516,-66.7456128154691,0.6292489825571201,-0.6125666570917616,NaN,0.5988975341402981,NaN,-0.027193282474572165,NaN
58827.37582057031,-67.0181334826347,0.6313358215487493,-0.6132324369799278,NaN,0.5988634388953898,NaN,-0.02883059648121258,NaN
58827.37923141122,-66.01734499421205,0.6323409131180224,-0.6087681883238076,NaN,0.596138520847112,NaN,-0.024783963770065476,NaN
58827.38285352194,-67.16272325951961,0.6309032398776254,-0.6050308758689908,NaN,0.5935329426166421,NaN,-0.02215757611284482,NaN
58828.31636106858,-64.26799247716465,0.6629024544154701,-0.6287378816745957,NaN,0.6092412956746661,NaN,-0.040741453779150665,NaN
58828.31872099881,-65.87959119161091,0.6687776925083961,-0.6291179313180493,NaN,0.6072948885754227,NaN,-0.04619868220399226,NaN
58828.32082878341,-66.15071411643656,0.6674319878030278,-0.6334150163565226,NaN,0.6135416165308838,NaN,-0.04158852120164076,NaN
58829.33115332059,-68.55841937031575,0.6444553322915111,-0.6324975017786016,NaN,0.6077346570817517,NaN,-0.053071512146964206,NaN
58829.3335664052,-67.64526286771999,0.646550314082413,-0.6258207863398297,NaN,0.6027080026175266,NaN,-0.04925205428740848,NaN
58829.33575903903,-66.20557626599793,0.645414260830048,-0.6245718118606476,NaN,0.6020112836332847,NaN,-0.04796586199219517,NaN
58829.33764348336,-68.31745177911884,0.649166760051604,-0.6151847340990457,NaN,0.5955063808513174,NaN,-0.04127622671815413,NaN
58833.35715045495,-66.518289125322,0.636381246059966,-0.6656322733732623,NaN,0.6208675084291673,NaN,-0.099752168808086,NaN
58833.36198514739,-68.41780150611888,0.635549771159047,-0.6711918922541287,NaN,0.6224035541460562,NaN,-0.10915124345945511,NaN
58833.36694176232,-67.71346569220113,0.6339188667423069,-0.659848123365137,NaN,0.6149354357345214,NaN,-0.10014550764205225,NaN
58833.37163094053,-67.71197880623005,0.6354103750947591,-0.6620790442621285,NaN,0.6192954511662343,NaN,-0.09513065737098957,NaN
58850.293067241,-68.07711822587758,0.6649302231989022,-0.570152616087924,NaN,0.4887258708002652,NaN,-0.1865608676522669,NaN
58850.29605050802,-68.30813275005262,0.6644755006357632,-0.5744698809449176,NaN,0.4927475889147259,NaN,-0.18722007079172065,NaN
58850.29939917601,-67.29229408416317,0.6635848832187995,-0.5746859922701617,NaN,0.489630513219622,NaN,-0.19504143264650636,NaN
58850.30322168233,-66.34309707665804,0.6645845403568137,-0.5649380027481072,NaN,0.4841044681519749,NaN,-0.18521019982621087,NaN
58852.1944620886,-66.66243821335848,0.6653518599137885,-0.5612225861388112,NaN,0.4759272332538082,NaN,-0.19571186725278983,NaN
58852.19574061711,-69.53168480516581,0.6701400875581561,-0.5632462678542822,NaN,0.4836747577677153,NaN,-0.1822616925064766,NaN
58852.19706373393,-67.96886414621488,0.6693587187245009,-0.5609205878122197,NaN,0.47767964619288544,NaN,-0.19089251456198592,NaN
58852.19850634785,-66.96571699047384,0.667704193869819,-0.5654679819146367,NaN,0.48299049726475285,NaN,-0.18906436877445432,NaN
58853.31911322102,-63.870239828407065,0.6637485132584673,-0.5558539330534984,NaN,0.47027191190161644,NaN,-0.19642753014002762,NaN
58853.32055702478,-68.87797076131444,0.6662538988870184,-0.5561972958329022,NaN,0.47231931724345805,NaN,-0.19242535268873878,NaN
58853.3220878425,-67.13440050077509,0.6679283695033006,-0.5524297511312426,NaN,0.46702957974374154,NaN,-0.19602804991710746,NaN
58853.32353229161,-65.76291928496303,0.6671698839772878,-0.5596336438574809,NaN,0.4728148229445348,NaN,-0.19930017129914868,NaN
58859.32313453859,-66.35507505329785,0.6380530294788459,-0.5456676975622656,NaN,0.4617524367105038,NaN,-0.1925968859576213,NaN
58859.32522411729,-66.99960523848245,0.637930149198209,-0.5490153701524179,NaN,0.4635957382782368,NaN,-0.1961009724706473,NaN
58859.32735446598,-67.67862017183829,0.640049427316669,-0.5458489437511389,NaN,0.4623984511141842,NaN,-0.19150461506830133,NaN
58861.32876474489,-67.50252966240124,0.6309724182624695,-0.5417033539914229,NaN,0.45825332560267995,NaN,-0.1915366090520529,NaN
58861.37607352177,-66.95452058999709,0.643989267529868,-0.5379674958508218,NaN,0.46102311018199993,NaN,-0.17629749084031318,NaN
58861.38024521297,-66.92150456494242,0.6457156829458587,-0.532669917619728,NaN,0.4560157019280838,NaN,-0.17565873044695557,NaN
58861.38397072724,-69.28921778045073,0.6454447012984621,-0.5277958265412082,NaN,0.4519774214493847,NaN,-0.17373595609282372,NaN
58861.38698193295,-67.0595746953402,0.6467255241920162,-0.5315935378664705,NaN,0.4561049851456109,NaN,-0.1729314756523309,NaN
58872.19614874908,-65.34921468281517,0.6462983964756368,-0.564252491414976,NaN,0.48667545146023883,NaN,-0.17757258322075659,NaN
58872.19805809358,-64.58787191481431,0.6454492758584792,-0.5676711341944696,NaN,0.49034363862404967,NaN,-0.17695961308177077,NaN
58872.19995669825,-66.88452615017849,0.6421691061920007,-0.5643838854151397,NaN,0.4901355334019574,NaN,-0.16975900759240659,NaN
58872.20198651417,-66.54564056699867,0.642735342544432,-0.5677110131571084,NaN,0.4913664752645543,NaN,-0.17465226467929879,NaN
58881.1868427223,-70.6660686727469,0.6507681367412947,-0.6317250138271504,NaN,0.537362382906085,NaN,-0.2164303918590651,NaN
58881.18898162753,-67.12032334047564,0.6492135946094413,-0.6313673625789704,NaN,0.5378313663520689,NaN,-0.2144931104907061,NaN
58881.19097021305,-65.30582442213974,0.650430877869463,-0.6351382600158644,NaN,0.5409842288519703,NaN,-0.21591356301344894,NaN
58881.19292821665,-68.2509309702824,0.6509850580567617,-0.6319932926544141,NaN,0.5381641042431979,NaN,-0.21517624585158623,NaN
58881.19543869003,-66.93537160569001,0.6496191673046142,-0.6270575924788062,NaN,0.5341687581738142,NaN,-0.21300859652582582,NaN
58884.18187593056,-65.870911329222,0.6735650858149522,-0.6468080615164524,NaN,0.5465710778592613,NaN,-0.23009729873842316,NaN
58884.18638292389,-64.69411145905495,0.6736381785301548,-0.6421783553578706,NaN,0.5432542863305723,NaN,-0.22705279710490722,NaN
58884.1913812346,-66.3305090240452,0.6734854576708253,-0.6452125162043103,NaN,0.5454189952074852,NaN,-0.229069212162408,NaN
58884.19733098977,-67.26337930169032,0.6724127124451664,-0.6387273202083747,NaN,0.542511312803497,NaN,-0.22072443875431594,NaN
